what,kind,bundleId,bundleVersion,description,time
error,log,,,"Error in JSDT Core during AST creation",1313033317488
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1313033317516
error,log,,,"Error in JSDT Core during AST creation",1313033317519
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1313033317549
error,log,,,"Error in JSDT Core during AST creation",1313033317551
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1313033317579
error,log,,,"Error in JSDT Core during AST creation",1313033317582
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1313033317620
error,log,,,"Error in JSDT Core during AST creation",1313033317623
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1313033317669
error,log,,,"Error in JSDT Core during AST creation",1313033317674
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1313033317702
error,log,,,"Error in JSDT Core during AST creation",1313033317705
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1313033317735
error,log,,,"Error in JSDT Core during AST creation",1313033317738
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1313033317765
error,log,,,"Error in JSDT Core during AST creation",1313033317768
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1313033317800
error,log,,,"Error in JSDT Core during AST creation",1313033317803
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1313033317831
error,log,,,"Error in JSDT Core during AST creation",1313033317834
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1313033317865
error,log,,,"Error in JSDT Core during AST creation",1313033317868
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1313033317915
error,log,,,"Error in JSDT Core during AST creation",1313033317918
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1313033317973
error,log,,,"Error in JSDT Core during AST creation",1313033317976
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1313033318437
error,log,,,"Error in JSDT Core during AST creation",1313033318439
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1313033318468
