what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1308622136993
activated,view,org.eclipse.ui.navigator.resources,3.4.1.M20090826-0800,"org.eclipse.ui.navigator.ProjectExplorer",1308622140535
started,bundle,org.eclipse.jst.servlet.ui,1.1.301.v200908101600,"org.eclipse.jst.servlet.ui",1308622140824
started,bundle,org.eclipse.wst.common.uriresolver,1.1.301.v200805140415,"org.eclipse.wst.common.uriresolver",1308622141827
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1308622141970
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1308622147706
started,bundle,org.eclipse.jdt.apt.core,3.3.202.R35x_v20091130-2300,"org.eclipse.jdt.apt.core",1308622151841
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1308622156756
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1308622159113
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1308622192016
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1308622193811
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.refresh",1308622196771
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1308622197221
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1308622198533
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1308622200705
started,bundle,org.eclipse.wst.wsi.ui,1.0.500.v200901141851,"org.eclipse.wst.wsi.ui",1308622201001
started,bundle,org.eclipse.wst.dtd.core,1.1.300.v200904181727,"org.eclipse.wst.dtd.core",1308622201112
started,bundle,org.eclipse.wst.sse.ui,1.1.102.v200910200227,"org.eclipse.wst.sse.ui",1308622201475
started,bundle,org.eclipse.wst.html.ui,1.0.401.v200908111935,"org.eclipse.wst.html.ui",1308622201487
started,bundle,org.eclipse.jst.jsp.core,1.2.204.v201001270045,"org.eclipse.jst.jsp.core",1308622203296
started,bundle,org.eclipse.wst.wsdl.validation,1.1.402.v200911251542,"org.eclipse.wst.wsdl.validation",1308622203705
started,bundle,org.eclipse.wst.xsd.core,1.1.401.v200903020335,"org.eclipse.wst.xsd.core",1308622203750
started,bundle,org.eclipse.wst.xsl.core,1.0.1.v200908101420,"org.eclipse.wst.xsl.core",1308622203800
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1308622204652
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1308622222023
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1308622396514
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.delete",1308622396525
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1308622563968
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1308622574751
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1308622579135
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1308622598385
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1308622786798
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1308622790169
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1308622942009
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1308622943754
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1308623019946
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1308623019995
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1308623021237
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1308623170592
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1308623171630
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1308624056706
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1308624082417
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1308624260010
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1308624262998
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1308624366606
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1308624371092
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1308624501117
