what,kind,bundleId,bundleVersion,description,time
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1313035432429
error,log,,,"Error in JSDT Core during AST creation",1313035432434
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1313035432471
error,log,,,"Error in JSDT Core during AST creation",1313035432474
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1313035432528
error,log,,,"Error in JSDT Core during AST creation",1313035432531
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1313035432563
error,log,,,"Error in JSDT Core during AST creation",1313035432566
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1313035432598
error,log,,,"Error in JSDT Core during AST creation",1313035432601
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1313035432630
error,log,,,"Error in JSDT Core during AST creation",1313035432634
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1313035432665
error,log,,,"Error in JSDT Core during AST creation",1313035432669
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1313035432701
error,log,,,"Error in JSDT Core during AST creation",1313035432708
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1313035432739
error,log,,,"Error in JSDT Core during AST creation",1313035432742
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1313035432795
error,log,,,"Error in JSDT Core during AST creation",1313035432798
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1313035432832
error,log,,,"Error in JSDT Core during AST creation",1313035432836
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1313035432867
error,log,,,"Error in JSDT Core during AST creation",1313035432871
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1313035432903
error,log,,,"Error in JSDT Core during AST creation",1313035432919
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1313035432949
error,log,,,"Error in JSDT Core during AST creation",1313035432952
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1313035432982
error,log,,,"Error in JSDT Core during AST creation",1313035432994
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1313035433028
error,log,,,"Error in JSDT Core during AST creation",1313035433032
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1313035433086
error,log,,,"Error in JSDT Core during AST creation",1313035433090
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1313035433945
error,log,,,"Error in JSDT Core during AST creation",1313035433951
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1313035433983
