what,kind,bundleId,bundleVersion,description,time
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1313034939132
error,log,,,"Error in JSDT Core during AST creation",1313034939136
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1313034939323
error,log,,,"Error in JSDT Core during AST creation",1313034939327
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1313034939364
error,log,,,"Error in JSDT Core during AST creation",1313034939377
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1313034939493
error,log,,,"Error in JSDT Core during AST creation",1313034939502
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1313034939547
error,log,,,"Error in JSDT Core during AST creation",1313034939551
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1313034939586
error,log,,,"Error in JSDT Core during AST creation",1313034939589
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1313034980713
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1313035011203
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.findReplace",1313035011238
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1313035015817
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1313035029842
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1313035031887
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1313035074323
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1313035077066
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1313035106603
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.findReplace",1313035106637
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1313035114753
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1313035172390
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1313035175998
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1313035188316
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1313035194093
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1313035195867
activated,view,org.eclipse.ui.views,3.4.1.M20090826-0800,"org.eclipse.ui.views.ContentOutline",1313035199157
activated,editor,org.eclipse.jdt.ui,3.5.2.r352_v20100106-0800,"org.eclipse.jdt.ui.CompilationUnitEditor",1313035199332
activated,editor,org.eclipse.jst.jsp.ui,1.1.401.v200908111935,"org.eclipse.jst.jsp.core.jspsource.source",1313035219848
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1313035234585
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1313035236695
error,log,,,"Error in JSDT Core during AST creation",1313035236698
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1313035236729
error,log,,,"Error in JSDT Core during AST creation",1313035236732
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1313035236762
error,log,,,"Error in JSDT Core during AST creation",1313035236766
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1313035236913
error,log,,,"Error in JSDT Core during AST creation",1313035236927
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1313035236971
error,log,,,"Error in JSDT Core during AST creation",1313035236974
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1313035237004
error,log,,,"Error in JSDT Core during AST creation",1313035237007
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1313035237038
error,log,,,"Error in JSDT Core during AST creation",1313035237041
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1313035237073
error,log,,,"Error in JSDT Core during AST creation",1313035237076
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1313035237106
error,log,,,"Error in JSDT Core during AST creation",1313035237109
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1313035237166
error,log,,,"Error in JSDT Core during AST creation",1313035237169
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1313035237200
error,log,,,"Error in JSDT Core during AST creation",1313035237203
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1313035237234
error,log,,,"Error in JSDT Core during AST creation",1313035237237
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1313035237267
error,log,,,"Error in JSDT Core during AST creation",1313035237270
