what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.jst.server.core,1.2.1.v20100127,"org.eclipse.jst.server.core",1312172692626
started,bundle,org.eclipse.mylyn.commons.ui,3.2.3.v20100217-0100-e3x,"org.eclipse.mylyn.commons.ui",1312172692628
started,bundle,org.eclipse.wst.common.modulecore,1.1.301.v201001252130,"org.eclipse.wst.common.modulecore",1312172692629
started,bundle,org.eclipse.wst.common.project.facet.core,1.4.1.v200911141735,"org.eclipse.wst.common.project.facet.core",1312172692629
started,bundle,org.eclipse.wst.jsdt.core,1.0.201.v2010012803,"org.eclipse.wst.jsdt.core",1312172692645
started,bundle,org.eclipse.wst.jsdt.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.ui",1312172692645
started,bundle,org.eclipse.wst.server.core,1.1.102.v20100123,"org.eclipse.wst.server.core",1312172692646
started,bundle,org.eclipse.wst.server.ui,1.1.103.v20100123,"org.eclipse.wst.server.ui",1312172692648
started,bundle,org.eclipse.wst.sse.core,1.1.402.v201001251516,"org.eclipse.wst.sse.core",1312172692650
started,bundle,org.eclipse.wst.validation,1.2.104.v200911120201,"org.eclipse.wst.validation",1312172692653
started,bundle,org.eclipse.wst.web,1.1.301.v200911302230,"org.eclipse.wst.web",1312172692655
started,bundle,org.eclipse.wst.xml.core,1.1.402.v201001222130,"org.eclipse.wst.xml.core",1312172692718
os,sysinfo,,,"win32",1312172692737
arch,sysinfo,,,"x86",1312172692737
ws,sysinfo,,,"win32",1312172692737
locale,sysinfo,,,"th_TH",1312172692737
processors,sysinfo,,,"2",1312172692737
java.runtime.name,sysinfo,,,"Java(TM) 2 Runtime Environment, Standard Edition",1312172692737
java.runtime.version,sysinfo,,,"1.5.0_21-b01",1312172692737
java.specification.name,sysinfo,,,"Java Platform API Specification",1312172692737
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1312172692737
java.specification.version,sysinfo,,,"1.5",1312172692737
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1312172692737
java.version,sysinfo,,,"1.5.0_21",1312172692737
java.vm.info,sysinfo,,,"mixed mode",1312172692737
