what,kind,bundleId,bundleVersion,description,time
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247041143
error,log,,,"Error in JSDT Core during AST creation",1309247041146
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247041177
error,log,,,"Error in JSDT Core during AST creation",1309247041179
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247041209
error,log,,,"Error in JSDT Core during AST creation",1309247041212
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247041241
error,log,,,"Error in JSDT Core during AST creation",1309247041244
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247041274
error,log,,,"Error in JSDT Core during AST creation",1309247041276
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247041305
error,log,,,"Error in JSDT Core during AST creation",1309247041308
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247041337
error,log,,,"Error in JSDT Core during AST creation",1309247041340
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247041389
error,log,,,"Error in JSDT Core during AST creation",1309247041392
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247041421
error,log,,,"Error in JSDT Core during AST creation",1309247041423
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247041453
error,log,,,"Error in JSDT Core during AST creation",1309247041455
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247041484
error,log,,,"Error in JSDT Core during AST creation",1309247041487
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247041516
error,log,,,"Error in JSDT Core during AST creation",1309247041519
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247041548
error,log,,,"Error in JSDT Core during AST creation",1309247041563
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247041593
error,log,,,"Error in JSDT Core during AST creation",1309247041615
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247041646
error,log,,,"Error in JSDT Core during AST creation",1309247041649
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247041677
error,log,,,"Error in JSDT Core during AST creation",1309247041681
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247041730
error,log,,,"Error in JSDT Core during AST creation",1309247041754
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247041784
error,log,,,"Error in JSDT Core during AST creation",1309247041787
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247041816
error,log,,,"Error in JSDT Core during AST creation",1309247041819
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247041849
error,log,,,"Error in JSDT Core during AST creation",1309247041852
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247041901
error,log,,,"Error in JSDT Core during AST creation",1309247041905
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247041934
error,log,,,"Error in JSDT Core during AST creation",1309247041938
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247041967
error,log,,,"Error in JSDT Core during AST creation",1309247041970
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247042002
error,log,,,"Error in JSDT Core during AST creation",1309247042005
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247042034
error,log,,,"Error in JSDT Core during AST creation",1309247042037
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247042069
error,log,,,"Error in JSDT Core during AST creation",1309247042072
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247042101
error,log,,,"Error in JSDT Core during AST creation",1309247042104
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247042154
error,log,,,"Error in JSDT Core during AST creation",1309247042157
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247042186
error,log,,,"Error in JSDT Core during AST creation",1309247042189
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247042217
error,log,,,"Error in JSDT Core during AST creation",1309247042222
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247042252
error,log,,,"Error in JSDT Core during AST creation",1309247042255
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247042284
error,log,,,"Error in JSDT Core during AST creation",1309247042287
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1309247059555
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineStart",1309247059745
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1309247072899
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1309247121220
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1309247136063
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1309247145091
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247147094
error,log,,,"Error in JSDT Core during AST creation",1309247147097
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247147125
error,log,,,"Error in JSDT Core during AST creation",1309247147128
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247147155
error,log,,,"Error in JSDT Core during AST creation",1309247147158
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247147186
error,log,,,"Error in JSDT Core during AST creation",1309247147189
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247147217
error,log,,,"Error in JSDT Core during AST creation",1309247147220
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247147247
error,log,,,"Error in JSDT Core during AST creation",1309247147250
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247147277
error,log,,,"Error in JSDT Core during AST creation",1309247147280
