what,kind,bundleId,bundleVersion,description,time
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1327723204628
error,log,,,"Error in JSDT Core during AST creation",1327723204631
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1327723204659
error,log,,,"Error in JSDT Core during AST creation",1327723204662
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1327723244428
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1327723247730
activated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1327723250914
activated,view,org.eclipse.ui.console,3.4.0.v20090513,"org.eclipse.ui.console.ConsoleView",1327723252146
activated,editor,org.eclipse.wst.jsdt.ui,1.0.201.v2010012803,"org.eclipse.wst.jsdt.ui.CompilationUnitEditor",1327723260930
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1327723261226
error,log,,,"Error in JSDT Core during AST creation",1327723261229
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1327723263638
error,log,,,"Error in JSDT Core during AST creation",1327723263641
error,log,,,"Unexpected runtime error while computing a text hover",1327723263672
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1327723264585
error,log,,,"Error in JSDT Core during AST creation",1327723264588
error,log,,,"Unexpected runtime error while computing a text hover",1327723264617
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1327723268695
error,log,,,"Error in JSDT Core during AST creation",1327723268698
executed,command,org.eclipse.ui.workbench.texteditor,3.5.0.v20090603,"org.eclipse.ui.edit.text.goto.lineEnd",1327723274319
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1327723276046
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1327723276808
error,log,,,"Error in JSDT Core during AST creation",1327723276812
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1327723277274
error,log,,,"Error in JSDT Core during AST creation",1327723277278
deactivated,workbench,org.eclipse.ui.workbench,3.5.1.M20090826-0800a,"",1327723277317
