what,kind,bundleId,bundleVersion,description,time
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247581978
error,log,,,"Error in JSDT Core during AST creation",1309247581981
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247582010
error,log,,,"Error in JSDT Core during AST creation",1309247582013
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247582064
error,log,,,"Error in JSDT Core during AST creation",1309247582066
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247582098
error,log,,,"Error in JSDT Core during AST creation",1309247582100
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247582130
error,log,,,"Error in JSDT Core during AST creation",1309247582132
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247582162
error,log,,,"Error in JSDT Core during AST creation",1309247582164
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247582199
error,log,,,"Error in JSDT Core during AST creation",1309247582201
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247582231
error,log,,,"Error in JSDT Core during AST creation",1309247582233
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247582263
error,log,,,"Error in JSDT Core during AST creation",1309247582265
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247582317
error,log,,,"Error in JSDT Core during AST creation",1309247582320
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247582350
error,log,,,"Error in JSDT Core during AST creation",1309247582356
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247582386
error,log,,,"Error in JSDT Core during AST creation",1309247582388
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247582417
error,log,,,"Error in JSDT Core during AST creation",1309247582428
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1309247583159
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.edit.paste",1309247589517
executed,command,org.eclipse.ui,3.5.1.M20090902-1000,"org.eclipse.ui.file.save",1309247592705
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247594590
error,log,,,"Error in JSDT Core during AST creation",1309247594592
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247594621
error,log,,,"Error in JSDT Core during AST creation",1309247594623
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247594659
error,log,,,"Error in JSDT Core during AST creation",1309247594662
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247594689
error,log,,,"Error in JSDT Core during AST creation",1309247594692
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247594719
error,log,,,"Error in JSDT Core during AST creation",1309247594722
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247594749
error,log,,,"Error in JSDT Core during AST creation",1309247594752
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247594779
error,log,,,"Error in JSDT Core during AST creation",1309247594782
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247594809
error,log,,,"Error in JSDT Core during AST creation",1309247594812
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247594856
error,log,,,"Error in JSDT Core during AST creation",1309247594859
error,log,,,"Problems occurred when invoking code from plug-in: ""org.eclipse.wst.jsdt.ui"".",1309247594886
error,log,,,"Error in JSDT Core during AST creation",1309247594888
